PrescriptorName,NormCost,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Stringency
3C1_3C2_2C3_4C4_2C5_3C6_2C7_4C8_2H1_3H2_2H3_4H6,0.0,3,3,2,4,2,3,2,4,2,3,2,4,34
3C1_3C2_0C3_4C4_2C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.10520450132257107,3,3,0,4,2,0,0,4,0,3,0,0,19
3C1_3C2_0C3_3C4_2C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.114576849575385,3,3,0,3,2,0,0,4,0,3,0,0,18
3C1_3C2_0C3_4C4_2C5_0C6_0C7_3C8_0H1_3H2_0H3_0H6,0.1154076545407509,3,3,0,4,2,0,0,3,0,3,0,0,18
3C1_3C2_0C3_4C4_1C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.12176737429918265,3,3,0,4,1,0,0,4,0,3,0,0,18
3C1_3C2_0C3_4C4_2C5_0C6_0C7_4C8_0H1_2H2_0H3_0H6,0.12189437447862715,3,3,0,4,2,0,0,4,0,2,0,0,18
3C1_3C2_0C3_2C4_2C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.1246034453558336,3,3,0,2,2,0,0,4,0,3,0,0,17
3C1_3C2_0C3_3C4_2C5_0C6_0C7_3C8_0H1_3H2_0H3_0H6,0.12532085646188715,3,3,0,3,2,0,0,3,0,3,0,0,17
3C1_3C2_0C3_4C4_2C5_0C6_0C7_2C8_0H1_3H2_0H3_0H6,0.1266007979462185,3,3,0,4,2,0,0,2,0,3,0,0,17
3C1_3C2_0C3_3C4_1C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.13186880959855393,3,3,0,3,1,0,0,4,0,3,0,0,17
1C1_3C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,0.5336416842893639,1,3,0,0,0,0,0,0,0,0,0,0,4
2C1_2C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,0.5525728401378245,2,2,0,0,0,0,0,0,0,0,0,0,4
0C1_3C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_1H2_0H3_0H6,0.5714806008435428,0,3,0,0,0,0,0,0,0,1,0,0,4
0C1_3C2_0C3_0C4_1C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,0.5727698413556088,0,3,0,0,1,0,0,0,0,0,0,0,4
3C1_1C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,0.5740860131916389,3,1,0,0,0,0,0,0,0,0,0,0,4
0C1_3C2_0C3_0C4_0C5_0C6_0C7_0C8_1H1_0H2_0H3_0H6,0.5759197938744068,0,3,0,0,0,0,0,0,1,0,0,0,4
0C1_3C2_0C3_0C4_0C5_0C6_0C7_1C8_0H1_0H2_0H3_0H6,0.5866463613749006,0,3,0,0,0,0,0,1,0,0,0,0,4
1C1_2C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_1H2_0H3_0H6,0.5899026531244147,1,2,0,0,0,0,0,0,0,1,0,0,4
1C1_2C2_0C3_0C4_1C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,0.5911982765182987,1,2,0,0,1,0,0,0,0,0,0,0,4
0C1_0C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0

