PrescriptorName,NormCost,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Stringency
0C1_0C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_0H2_0H3_0H6,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C1_0C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_1H2_0H3_0H6,0.9251578019434777,0,0,0,0,0,0,0,0,0,1,0,0,1
0C1_0C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_2H2_0H3_0H6,0.8589306633252535,0,0,0,0,0,0,0,0,0,2,0,0,2
0C1_0C2_0C3_0C4_0C5_0C6_0C7_0C8_0H1_3H2_0H3_0H6,0.8002320954886509,0,0,0,0,0,0,0,0,0,3,0,0,3
0C1_0C2_0C3_0C4_0C5_0C6_0C7_1C8_0H1_0H2_0H3_0H6,0.9451329128725885,0,0,0,0,0,0,0,1,0,0,0,0,1
0C1_0C2_0C3_0C4_0C5_0C6_0C7_1C8_0H1_1H2_0H3_0H6,0.8755518577991389,0,0,0,0,0,0,0,1,0,1,0,0,2
0C1_0C2_0C3_0C4_0C5_0C6_0C7_1C8_0H1_2H2_0H3_0H6,0.8139719201320208,0,0,0,0,0,0,0,1,0,2,0,0,3
0C1_0C2_0C3_0C4_0C5_0C6_0C7_1C8_0H1_3H2_0H3_0H6,0.7593661490858277,0,0,0,0,0,0,0,1,0,3,0,0,4
0C1_0C2_0C3_0C4_0C5_0C6_0C7_2C8_0H1_0H2_0H3_0H6,0.8963497412405003,0,0,0,0,0,0,0,2,0,0,0,0,2
0C1_0C2_0C3_0C4_0C5_0C6_0C7_2C8_0H1_1H2_0H3_0H6,0.8314679287117124,0,0,0,0,0,0,0,2,0,1,0,0,3
0C1_0C2_0C3_0C4_0C5_0C6_0C7_2C8_0H1_2H2_0H3_0H6,0.7740170819222387,0,0,0,0,0,0,0,2,0,2,0,0,4
0C1_0C2_0C3_0C4_0C5_0C6_0C7_2C8_0H1_3H2_0H3_0H6,0.7230621056512472,0,0,0,0,0,0,0,2,0,3,0,0,5
0C1_0C2_0C3_0C4_0C5_0C6_0C7_3C8_0H1_0H2_0H3_0H6,0.8528705197283829,0,0,0,0,0,0,0,3,0,0,0,0,3
0C1_0C2_0C3_0C4_0C5_0C6_0C7_3C8_0H1_1H2_0H3_0H6,0.7921817231333921,0,0,0,0,0,0,0,3,0,1,0,0,4
0C1_0C2_0C3_0C4_0C5_0C6_0C7_3C8_0H1_2H2_0H3_0H6,0.7384239804762247,0,0,0,0,0,0,0,3,0,2,0,0,5
0C1_0C2_0C3_0C4_0C5_0C6_0C7_3C8_0H1_3H2_0H3_0H6,0.6907325991713792,0,0,0,0,0,0,0,3,0,3,0,0,6
0C1_0C2_0C3_0C4_0C5_0C6_0C7_4C8_0H1_0H2_0H3_0H6,0.8140152514541801,0,0,0,0,0,0,0,4,0,0,0,0,4
0C1_0C2_0C3_0C4_0C5_0C6_0C7_4C8_0H1_1H2_0H3_0H6,0.7570777517577735,0,0,0,0,0,0,0,4,0,1,0,0,5
0C1_0C2_0C3_0C4_0C5_0C6_0C7_4C8_0H1_2H2_0H3_0H6,0.7066261473599783,0,0,0,0,0,0,0,4,0,2,0,0,6
0C1_0C2_0C3_0C4_0C5_0C6_0C7_4C8_0H1_3H2_0H3_0H6,0.6618465529885234,0,0,0,0,0,0,0,4,0,3,0,0,7
